tokens,sample,row_count
590,228,10
532,313,6
1458,231,27
2165,661,13
1496,290,20
576,237,9
908,237,17
1445,349,16
817,200,17
1229,237,20
3903,357,44
656,225,12
2003,462,18
645,213,12
4609,196,103
1037,299,13
1337,192,28
883,236,14
8279,281,126
1576,737,8
1730,335,20
641,219,12
1092,223,20
879,335,10
420,197,8
905,374,9
1136,212,22
2328,333,31
1336,281,19
1222,266,18
10199,487,60
753,203,14
510,236,8
541,227,9
4890,305,60
400,209,7
1496,290,20
449,172,10
1092,223,20
719,274,10
1067,250,16
514,200,10
1111,301,14
3862,455,35
9689,389,111
532,313,6
1741,326,22
772,291,10
641,219,12
2415,250,42
1092,347,12
627,211,12
435,291,5
1366,162,32
504,253,7
594,208,11
1576,737,8
833,238,13
1137,237,18
1869,340,20
1222,266,18
431,184,9
720,299,9
1149,244,18
1229,237,20
4890,305,60
367,196,7
1088,391,10
1713,325,21
484,210,9
1088,391,10
647,200,13
743,202,16
420,227,7
551,199,11
847,240,14
1010,305,13
506,228,7
2341,358,27
612,199,12
745,214,14
4034,370,40
719,227,12
1559,208,33
753,203,14
883,236,14
1605,292,23
1113,357,12
964,316,11
478,225,8
868,330,10
772,291,10
656,222,12
1010,305,13
2072,334,24
592,334,7
627,211,12
332,200,6
1896,338,24
448,185,8
507,234,8
852,225,16
1336,281,19
772,291,10
1055,326,13
1337,192,28
704,241,11
954,227,18
834,224,15
743,202,16
1657,319,19
869,311,11
1279,206,27
612,199,12
4257,474,35
800,233,14
3602,224,66
988,321,12
917,286,12
1223,246,20
551,199,11
449,215,8
3813,266,50
375,198,7
570,198,11
4037,278,56
913,392,8
866,213,17
2297,251,38
880,219,16
1485,238,25
1337,192,28
2231,205,49
655,243,10
874,349,9
2359,267,38
820,204,17
1277,230,24
1111,301,14
946,201,17
2398,283,35
9689,389,111
685,295,9
1378,334,18
4034,370,40
793,196,17
1136,257,17
351,212,6
594,208,11
951,365,10
2429,377,26
377,176,8
626,199,14
1749,313,23
527,222,9
2365,198,52
1298,294,18
1390,298,19
13404,197,297
969,242,16
1615,358,17
492,213,9
448,185,8
641,219,12
1198,272,18
590,228,10
4769,187,101
375,198,7
2062,208,44
772,291,10
552,230,9
478,225,8
1031,420,9
2312,323,31
1452,284,17
2550,363,32
1378,334,18
3191,487,20
1312,248,21
1339,401,13
8275,305,118
2297,251,38
1306,234,23
2359,267,38
514,200,10
507,234,8
612,199,12
2057,304,28
622,213,11
2328,333,31
776,207,15
1357,331,15
1615,358,17
1007,332,12
980,182,21
536,209,10
772,291,10
599,296,7
822,215,15
756,245,13
548,249,8
2165,661,13
629,222,11
772,322,9
1816,354,19
1812,241,30
2022,430,18
2062,208,44
21857,204,517
1851,213,38
2566,250,42
1092,223,20
809,236,13
960,430,8
956,271,13
615,226,11
2329,376,24
911,163,22
1289,248,21
988,321,12
2072,334,24
1175,273,17
981,215,19
1113,357,12
825,195,18
659,294,8
495,161,12
720,299,9
1747,236,27
576,237,9
514,200,10
1052,421,9
2415,250,42
1741,326,22
1289,248,21
541,227,9
536,209,10
9689,389,111
719,274,10
388,203,7
1001,250,16
1014,221,19
1548,545,10
1445,349,16
4609,196,103
1851,213,38
1289,248,21
870,192,19
1277,230,24
656,225,12
626,254,10
627,211,12
1027,277,15
1657,319,19
442,216,8
1007,332,12
616,218,11
719,274,10
758,246,12
506,314,6
1553,208,29
486,192,10
1470,367,15
10199,487,60
1358,289,18
3903,357,44
5824,295,75
609,209,12
513,241,8
727,375,7
879,335,10
1136,257,17
913,392,8
1067,531,8
4890,305,60
704,241,11
1014,221,19
891,272,12
1010,305,13
16849,227,332
567,219,10
1286,200,27
2057,304,28
719,227,12
1010,305,13
753,203,14
799,276,12
507,234,8
377,176,8
599,296,7
1496,290,20
1171,195,23
1664,166,40
1222,266,18
1605,292,23
1458,231,27
2057,304,28
611,262,8
1001,250,16
2365,198,52
451,221,8
834,163,21
891,272,12
2062,208,44
679,211,13
969,242,16
442,216,8
988,318,12
1286,200,27
1470,367,15
4376,286,64
820,204,17
655,243,10
544,289,7
1576,737,8
847,240,14
1465,258,24
720,299,9
448,185,8
6053,371,64
1036,299,13
1010,305,13
514,200,10
776,207,15
400,164,10
4730,204,95
482,232,8
420,219,7
719,274,10
908,237,17
772,291,10
536,209,10
657,215,12
2022,430,18
691,311,8
699,232,12
2341,358,27
2359,267,38
1277,230,24
817,200,17
427,228,7
951,305,12
424,181,9
834,243,13
883,236,14
929,338,10
4282,441,40
444,212,8
7678,190,99
2104,257,30
1336,281,19
1615,358,17
712,222,13
645,213,12
1470,367,15
1037,299,13
424,181,9
1105,261,17
1151,196,26
611,262,8
655,243,10
1337,192,28
704,241,11
696,215,13
2057,304,28
1747,236,27
2006,317,24
17582,251,319
779,208,15
1105,261,17
758,246,12
951,305,12
980,182,21
2359,267,38
1465,258,24
1226,326,14
960,430,8
868,330,10
552,230,9
847,240,14
1051,342,12
400,209,7
1773,367,19
616,218,11
969,242,16
800,233,14
592,334,7
1265,406,13
1037,299,13
729,209,14
1175,273,17
