tokens,sample
761,235
675,313
1711,235
2363,661
1935,298
737,248
1051,222
1694,346
955,202
1409,246
4964,395
910,226
2537,451
752,216
5456,202
1203,299
1436,203
1003,234
10640,296
2287,753
1915,327
918,219
1351,230
1072,349
534,205
1106,383
1284,215
2759,324
1518,278
1376,282
11644,510
829,203
669,246
701,245
5663,313
508,212
1951,298
556,178
1384,230
926,289
1199,247
635,210
1257,320
4172,359
11339,440
672,313
2194,325
938,303
912,219
2681,244
1488,346
770,211
576,293
1428,163
651,264
712,206
2279,746
974,238
1249,242
2234,348
1373,282
572,207
905,311
1295,220
1407,246
5682,313
504,211
1287,366
2360,325
631,236
1254,353
792,200
865,205
525,227
749,218
978,239
1313,305
620,241
3147,376
732,201
893,214
4407,371
909,227
1753,209
841,203
992,234
1974,288
1317,357
1137,318
703,255
1011,305
928,293
863,221
1384,305
2429,346
747,274
771,211
430,200
2265,354
507,166
665,260
989,214
1523,278
920,298
1255,326
1431,203
861,260
1050,227
956,223
827,205
1802,329
1172,335
1380,195
743,201
6868,644
990,237
4160,218
1215,319
1071,292
1353,244
731,211
647,224
4142,300
495,202
734,212
4802,283
1059,364
999,207
2577,245
1046,220
1617,237
1441,203
2894,209
780,245
1033,336
2761,262
931,202
1453,230
1271,320
1048,193
2814,298
11333,434
807,292
1761,324
4425,371
1078,198
1248,254
544,212
735,222
1358,407
2751,358
493,177
765,199
2036,308
754,250
2651,204
1559,298
1949,293
14121,196
1202,242
1962,353
713,238
514,170
916,219
1376,284
752,239
5817,197
476,201
2336,208
940,300
695,235
717,256
1289,416
2864,324
1600,273
3606,361
1778,324
3364,544
1522,247
1595,401
10779,343
2549,245
1515,233
2782,262
659,198
645,246
761,201
2621,310
726,220
2741,324
906,206
1485,337
1956,353
1191,341
1134,183
758,242
919,299
761,303
963,217
910,245
661,246
2372,661
746,222
936,331
1987,360
2182,242
2201,395
2313,208
24201,202
2135,217
2813,244
1362,230
958,236
1195,414
1135,271
765,240
2734,352
1004,163
1424,257
1203,319
2429,332
1433,289
1118,226
1320,357
949,196
818,299
614,163
909,299
2006,272
734,243
667,217
1195,342
2649,244
2182,325
1491,257
674,232
748,218
11350,440
921,306
503,214
1110,250
1120,222
1661,405
1680,346
5484,202
2126,217
1484,257
1015,193
1366,230
913,226
773,270
725,211
1171,280
1821,329
568,216
1208,341
859,250
915,291
887,247
644,314
1684,209
648,214
1682,390
11649,510
1494,290
4963,366
7010,327
706,205
660,253
890,366
1071,352
1300,254
1065,365
1344,530
5621,313
855,253
1148,222
